% Case : Normal Case 
% Bus Data
% Bus No      Bus Name         Bus Type       VA in complex#      VB in complex#      VC in complex#      IA in complex#      IB in complex#      IC in complex#   Shunt Cap   Shunt Available
1	   3	      1.06	       0	     -0.53	   0.918	     -0.53	  -0.918	     15.89	   1.016	    -8.824	   13.25	    -7.063	  -14.27    0.0000    0.0000
2	   2	    0.9906	 -0.3263	   -0.2127	   1.021	   -0.7779	 -0.6948	    -1.966	  -3.871	     4.336	  0.2334	     -2.37	   3.638    0.0000    0.0000
3	   0	    0.9215	 -0.4017	   -0.1128	  0.9989	   -0.8086	 -0.5971	  -0.08558	   0.102	  -0.04556	 -0.1251	    0.1311	 0.02311    0.0000    0.1000
4	   4	    0.8845	 -0.4918	   -0.0163	   1.012	   -0.8682	   -0.52	    -1.431	    -1.8	     2.274	  -0.339	   -0.8436	   2.139    0.0000    0.0000
5	   2	    0.7505	 -0.6759	    0.2101	  0.9879	   -0.9606	  -0.312	    -4.675	   1.777	    0.7983	  -4.937	     3.877	    3.16    0.0000    0.0000
6	   4	    0.8377	 -0.5642	   0.06976	   1.008	   -0.9075	 -0.4434	   -0.5399	 -0.8016	    0.9642	-0.06674	   -0.4243	  0.8684    0.0000    0.4000
7	   0	    0.7832	 -0.6329	    0.1565	  0.9947	   -0.9397	 -0.3618	   -0.5404	   1.133	   -0.7106	  -1.034	     1.251	-0.09825    0.2000    0.0000
8	   2	    0.8185	 -0.5917	    0.1032	   1.005	   -0.9217	  -0.413	    -1.455	  0.5224	    0.2751	  -1.521	      1.18	  0.9988    0.0000    0.0000
9	   4	    0.7824	 -0.7017	    0.2165	   1.028	   -0.9989	 -0.3267	    0.2482	  0.2766	   -0.3637	 0.07659	    0.1155	 -0.3532    0.0000    0.0000
10	   0	    0.7462	 -0.7704	    0.2941	   1.031	     -1.04	  -0.261	   -0.1206	  0.2601	    -0.165	 -0.2345	    0.2856	-0.02565    0.1900    0.3100
11	   2	    0.8055	 -0.7224	    0.2229	   1.059	    -1.028	 -0.3364	    -0.199	 -0.2219	    0.2917	 -0.0614	  -0.09267	  0.2833    0.0000    0.0000
12	   4	    0.7705	 -0.7236	    0.2414	   1.029	    -1.012	 -0.3055	   -0.4378	  0.3078	  -0.04768	  -0.533	    0.4854	  0.2252    0.0000    0.0000
13	   2	    0.7807	 -0.7331	    0.2446	   1.043	    -1.025	 -0.3096	   -0.1369	 -0.1458	    0.1947	-0.04567	  -0.05781	  0.1915    0.0000    0.0000
14	   0	     0.718	  -0.731	    0.2741	  0.9873	   -0.9921	 -0.2563	   -0.1563	  0.2705	   -0.1561	 -0.2706	    0.3124	0.0001015    0.0000   0.2000
15	   0	    0.7083	 -0.7318	    0.2796	  0.9793	   -0.9879	 -0.2475	   -0.1918	  0.3746	   -0.2285	 -0.3534	    0.4203	-0.02116    0.0000    0.1000
16	   0	    0.7369	 -0.7395	     0.272	   1.008	    -1.009	 -0.2684	  -0.05728	  0.1795	   -0.1268	 -0.1394	    0.1841	-0.04015    0.0000    0.3000
17	   0	    0.7283	 -0.7584	    0.2926	    1.01	    -1.021	 -0.2515	  -0.09761	  0.4995	   -0.3838	 -0.3343	    0.4814	 -0.1652    0.0000    0.2000
18	   0	    0.6771	 -0.7441	    0.3059	  0.9584	    -0.983	 -0.2143	  -0.07394	  0.1477	  -0.09098	 -0.1379	    0.1649	-0.009833   0.0000   0.1000
19	   0	    0.6705	 -0.7513	    0.3154	  0.9563	   -0.9859	  -0.205	   -0.1881	  0.4644	   -0.3081	 -0.3951	    0.4962	-0.06928    0.0000    0.1000
