% Line Data
1 	         2 	    0.0192 	    0.0575 	    0.0264 	    1.0000 
1 	         3 	    0.0452 	    0.1652 	    0.0204 	    1.0000 
2 	         4 	    0.0570 	    0.1737 	    0.0184 	    1.0000 
3 	         4 	    0.0132 	    0.0379 	    0.0042 	    1.0000 
2 	         5 	    0.0472 	    0.1983 	    0.0209 	    1.0000 
2 	         6 	    0.0581 	    0.1763 	    0.0187 	    1.0000 
4 	         6 	    0.0119 	    0.0414 	    0.0045 	    1.0000 
5 	         7 	    0.0460 	    0.1160 	    0.0102 	    1.0000 
6 	         7 	    0.0267 	    0.0820 	    0.0085 	    1.0000 
6 	         8 	    0.0120 	    0.0420 	    0.0045 	    1.0000 
6 	         9 	    0.0000 	    0.2080 	    0.0000 	    0.9780 
6 	        10 	    0.0000 	    0.5560 	    0.0000 	    0.9690 
9 	        10 	    0.0000 	    0.1100 	    0.0000 	    1.0000 
